"unique.values" "nr.appearances"
"1" "the" 958458
"2" "to" 555266
"3" "and" 487285
"4" "a" 480028
"5" "of" 405033
"6" "in" 333215
"7" "I" 332625
"8" "for" 221220
"9" "is" 216086
"10" "that" 210293
"11" "you" 188812
"12" "it" 184668
"13" "on" 165424
"14" "with" 143510
"15" "was" 125717
"16" "my" 121118
"17" "at" 114110
"18" "be" 110715
"19" "this" 109513
"20" "have" 106821
"21" "are" 98520
"22" "but" 97352
"23" "as" 97066
"24" "he" 86297
"25" "we" 84210
"26" "not" 82966
"27" "so" 77777
"28" "from" 77511
"29" "me" 74581
"30" "all" 68419
"31" "they" 64981
"32" "by" 63285
"33" "or" 63279
"34" "will" 63269
"35" "just" 61332
"36" "said" 61326
"37" "up" 61209
"38" "his" 61004
"39" "out" 60994
"40" "your" 60474
"41" "one" 60182
"42" "an" 60146
"43" "about" 59011
"44" "if" 56215
"45" "what" 55811
"46" "like" 55221
"47" "when" 53659
"48" "has" 52082
"49" "who" 50011
"50" "can" 49739
"51" "do" 49113
"52" "more" 49051
"53" "had" 46759
"54" "it's" 46441
"55" "time" 45573
"56" "get" 45463
"57" "I'm" 43470
"58" "there" 43085
"59" "her" 41870
"60" "would" 41291
"61" "their" 40907
"62" "no" 40866
"63" "some" 40609
"64" "new" 39204
"65" "she" 39202
"66" "been" 37949
"67" "our" 36999
"68" "good" 36381
"69" "now" 35865
"70" "were" 35818
"71" "day" 35357
"72" "how" 35313
"73" "know" 32958
"74" "them" 32536
"75" "don't" 32519
"76" "love" 32421
"77" "people" 32071
"78" "back" 29104
"79" "which" 29041
"80" "go" 28457
"81" "than" 28427
"82" "first" 28254
"83" "year" 28004
"84" "see" 27916
"85" "into" 26754
"86" "after" 26738
"87" "make" 26405
"88" "also" 26246
"89" "going" 25997
"90" "its" 25769
"91" "only" 25633
"92" "over" 25588
"93" "other" 25586
"94" "think" 25562
"95" "last" 25144
"96" "then" 24967
"97" "great" 24908
"98" "two" 24594
"99" "him" 24300
"100" "much" 24204
"101" "because" 23932
"102" "us" 23910
"103" "well" 23559
"104" "really" 23081
"105" "too" 23018
"106" "way" 22645
"107" "could" 22626
"108" "today" 22452
"109" "even" 21929
"110" "want" 21649
"111" "got" 21576
"112" "work" 21573
"113" "did" 21057
"114" "right" 20998
"115" "off" 20829
"116" "still" 20683
"117" "here" 20095
"118" "thanks" 19714
"119" "need" 19563
"120" "where" 19481
"121" "am" 19255
"122" "very" 19086
"123" "most" 19054
"124" "any" 18848
"125" "years" 18817
"126" "down" 18319
